"TOTALN","lightlimitationSAV","lightlimitationFP","shadingbyFP"
0.1,0.1,0.1,0.2
0.1,0.1,0.1,0.4
0.1,0.1,0.2,0.2
0.1,0.1,0.2,0.4
0.1,0.2,0.1,0.2
0.1,0.2,0.1,0.4
0.1,0.2,0.2,0.2
0.1,0.2,0.2,0.4
0.5,0.1,0.1,0.2
0.5,0.1,0.1,0.4
0.5,0.1,0.2,0.2
0.5,0.1,0.2,0.4
0.5,0.2,0.1,0.2
0.5,0.2,0.1,0.4
0.5,0.2,0.2,0.2
0.5,0.2,0.2,0.4
1,0.1,0.1,0.2
1,0.1,0.1,0.4
1,0.1,0.2,0.2
1,0.1,0.2,0.4
1,0.2,0.1,0.2
1,0.2,0.1,0.4
1,0.2,0.2,0.2
1,0.2,0.2,0.4
2,0.1,0.1,0.2
2,0.1,0.1,0.4
2,0.1,0.2,0.2
2,0.1,0.2,0.4
2,0.2,0.1,0.2
2,0.2,0.1,0.4
2,0.2,0.2,0.2
2,0.2,0.2,0.4
3,0.1,0.1,0.2
3,0.1,0.1,0.4
3,0.1,0.2,0.2
3,0.1,0.2,0.4
3,0.2,0.1,0.2
3,0.2,0.1,0.4
3,0.2,0.2,0.2
3,0.2,0.2,0.4
4,0.1,0.1,0.2
4,0.1,0.1,0.4
4,0.1,0.2,0.2
4,0.1,0.2,0.4
4,0.2,0.1,0.2
4,0.2,0.1,0.4
4,0.2,0.2,0.2
4,0.2,0.2,0.4
5,0.1,0.1,0.2
5,0.1,0.1,0.4
5,0.1,0.2,0.2
5,0.1,0.2,0.4
5,0.2,0.1,0.2
5,0.2,0.1,0.4
5,0.2,0.2,0.2
5,0.2,0.2,0.4
6,0.1,0.1,0.2
6,0.1,0.1,0.4
6,0.1,0.2,0.2
6,0.1,0.2,0.4
6,0.2,0.1,0.2
6,0.2,0.1,0.4
6,0.2,0.2,0.2
6,0.2,0.2,0.4
7,0.1,0.1,0.2
7,0.1,0.1,0.4
7,0.1,0.2,0.2
7,0.1,0.2,0.4
7,0.2,0.1,0.2
7,0.2,0.1,0.4
7,0.2,0.2,0.2
7,0.2,0.2,0.4
8,0.1,0.1,0.2
8,0.1,0.1,0.4
8,0.1,0.2,0.2
8,0.1,0.2,0.4
8,0.2,0.1,0.2
8,0.2,0.1,0.4
8,0.2,0.2,0.2
8,0.2,0.2,0.4
9,0.1,0.1,0.2
9,0.1,0.1,0.4
9,0.1,0.2,0.2
9,0.1,0.2,0.4
9,0.2,0.1,0.2
9,0.2,0.1,0.4
9,0.2,0.2,0.2
9,0.2,0.2,0.4
10,0.1,0.1,0.2
10,0.1,0.1,0.4
10,0.1,0.2,0.2
10,0.1,0.2,0.4
10,0.2,0.1,0.2
10,0.2,0.1,0.4
10,0.2,0.2,0.2
10,0.2,0.2,0.4
